freq_index,length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
61,0.02856376040634231,0.008446582217714679,0.0006240844281751718,0.00746077299118042,0.001168983344414934,0.0009154045389066288,0.0001621503887966794,0.00025291626448210197,0.004667483158965609,0.014262948463212199,0.001594158806907597
62,0.027332550554133174,0.008327049254184931,0.0005941914199893155,0.0072474270614225475,0.0011114900866847726,0.0009529159510906656,0.0001613723637712239,0.0002595582439457599,0.004561112294742717,0.013792919875377447,0.0015246711893757777
63,0.026537667162975863,0.008178413359086905,0.0005886235844288299,0.007103177148904374,0.001079155104373818,0.0009191836142421362,0.00016223450900236172,0.00025200083462604834,0.0044053782574572965,0.013511150037471335,0.0014848871277042882
64,0.02671022854041104,0.008047952877348335,0.0005723276170925122,0.007051342162326794,0.0010651400989264398,0.0009369238173190634,0.00016235143631993242,0.00024404817385904824,0.004415327266081056,0.013500871053382532,0.001478103374070789
65,0.0267605031307657,0.007855056678477804,0.0005730370346883043,0.00685460146386825,0.001060888968148635,0.0009402046860450536,0.00015865310340823225,0.0002366519482129842,0.004341785884022119,0.01338660479778081,0.0014688583155769615
66,0.026893101224851845,0.00788752667939485,0.0005763197567925524,0.006687161489505673,0.0010675974190235138,0.0009475660635464227,0.00016252624927394425,0.00023319937789173268,0.004332881439384536,0.013342454362271437,0.0014577748726552992
67,0.02683648719123347,0.007763776835517504,0.0005834310764993602,0.006594410286613958,0.0010632072848763632,0.0009409689451034982,0.00016280093383210808,0.00023017659672160647,0.0042926997539415885,0.013201617334612566,0.0014421456303466019
68,0.026660844461241767,0.007448117383083894,0.0005889533560222654,0.006474618591479401,0.0010565482635996235,0.0009194379348066909,0.00015853750820628447,0.00022325134229155916,0.0042397775756779004,0.012996451178593422,0.0014265109205720437
69,0.02598111813341207,0.00675008412617356,0.0005824793204294509,0.006267405564512186,0.0010129235573668979,0.000912877587388404,0.00015345951588592718,0.00022022516480577525,0.004158931955769288,0.01240228227714994,0.0013814726983433338
70,0.02531398766076387,0.006173727079410458,0.0005732949415397881,0.006130698753233573,0.0009825510060905817,0.0008953425532846308,0.00014774962351541614,0.0002082104039429432,0.004067491758522109,0.011869370937347412,0.0013439560596326097
71,0.024459637516173558,0.005878023024815232,0.0005583924459135948,0.006002280101254212,0.0009437258452621858,0.0008864980283661268,0.00014334061966087688,0.00020013704655034032,0.003961768316392281,0.011345206653300802,0.0012996878234011616
72,0.02334612044528942,0.005325332580514215,0.0005400058401016453,0.0057849252401892814,0.0008948344496352163,0.000875849591855386,0.00013979969416462367,0.0001963019018890846,0.0038449329819845324,0.010666863538732576,0.0012323251596434198
73,0.022099996087562978,0.004849903693246604,0.0005381736830247575,0.005644106153231948,0.0008528734654632967,0.0008795955287876413,0.0001409612109523211,0.0002064602403201867,0.0038167192271692835,0.010041604587687781,0.001179882598605322
74,0.021206975279755853,0.004470563572437609,0.0005435537435670398,0.005574237499664079,0.0008211936523665243,0.0008890175107699722,0.00014538149724700557,0.00020914456218629334,0.00369432598204162,0.009599471121878173,0.0011473498237666799
75,0.020444992762892994,0.004727081650525183,0.0005581701980597937,0.0057228455199531065,0.0007892015913677453,0.0009403810535200793,0.00015009594478862203,0.00021992411130844657,0.0035756117668911,0.009315615714485966,0.0011292104215467748
76,0.019921276106763242,0.004687561324579799,0.00054161321946341,0.005703745196707806,0.0007532620756187249,0.0009440501123221953,0.0001522722278735531,0.00020713810415113744,0.0034429105508386793,0.008983395289425827,0.0010988122009815862
77,0.01941653181664386,0.004917729182622919,0.0004995951790418198,0.005751623887920854,0.0007358979322572253,0.001028132546155607,0.000168708783217627,0.00021183764589811438,0.0034441293323811016,0.009022192575445223,0.001067499412381234
78,0.020148139984453497,0.005152905387664909,0.0005023965046773503,0.005782387149867727,0.0007753222439419571,0.000931693194665719,0.00015831335832304622,0.00020089791392657294,0.003511711806800235,0.009562323194238083,0.001123250253609757
79,0.02188065336711371,0.005030776730817349,0.0004852542662946739,0.006111585827016119,0.0008254297522466575,0.0009250011091208577,0.00016062750726641707,0.00020370259417675028,0.003845345099173968,0.009912598933746566,0.0011875767687066871
80,0.023698501919039446,0.005618333519987799,0.0004913400747437976,0.006448424425884266,0.000884155450917002,0.0009312975169414312,0.0001702099848557171,0.0002112834904324356,0.004057238202783006,0.01080474642971855,0.001281368439618628
81,0.026201161579113102,0.006351702545412737,0.0005189293430219242,0.006665116074073374,0.0009577553997288889,0.0009686568965069691,0.0001847790739503666,0.00023042718272897142,0.004279582506388574,0.011928112945746427,0.0013867101414286676
82,0.027628123463682867,0.0067315931936994715,0.0005285540197174347,0.006847512514437016,0.00099396551797046,0.000956045176407591,0.00019261243275890303,0.00023661785531992936,0.004363016109561446,0.012612854366871849,0.0014495719872896944
83,0.028459560218735122,0.007115502410860204,0.0005492962785621188,0.006993006117901399,0.0010432802066577607,0.0009539216497347722,0.00019879949589570364,0.0002481344420073637,0.004449561905505052,0.013126389897284816,0.0015000024096882758
84,0.028061152097597644,0.007792706661556491,0.0005482041012884965,0.007143897796744731,0.001066416872674553,0.0009630277604606021,0.00019613957143763998,0.0002606208922702875,0.004600043320537207,0.013491447588697594,0.0015383438758589142
85,0.02833158281905141,0.008365519604279626,0.0005598534825281124,0.0072346589161981995,0.0011010886684282503,0.0009809316168377055,0.00019911612935401315,0.00027152265315476937,0.004778798836380688,0.013913794536495683,0.0015827431088656335
