,real,imag
76,0.7110115428982288,0.3769381779312636
77,0.7133616686030793,0.3645716501344604
78,0.7155014104215763,0.35206730375145034
79,0.7174245074010865,0.33942696679495954
80,0.719124574839388,0.3266526600687767
81,0.7205951053022014,0.3137466079783069
82,0.7218294701017912,0.3007112498122731
83,0.7228209212847191,0.28754925149938143
84,0.7235625941800429,0.27426351784123154
85,0.7240475105624972,0.26085720521984157
86,0.7242685824884774,0.24733373477479836
87,0.7242186168659116,0.2336968060412612
88,0.7238903208223424,0.21995041103574728
89,0.723276307938672,0.2060988487718382
90,0.7223691054190554,0.19214674018257716
91,0.7211611622702339,0.17809904342039198
92,0.7196448585661962,0.16396106949883238
93,0.7178125158763036,0.1497384982332224
94,0.7156564089368879,0.1354373944294828
95,0.7131687786477207,0.12106422426189446
96,0.7103418464755523,0.10662587177136168
97,0.7071678303470798,0.09212965540590533
98,0.7036389621130339,0.0775833445145774
99,0.6997475066635496,0.06299517569484923
100,0.695485782772404,0.048373868881751
101,0.6908461857439882,0.033728643054746
102,0.6858212119318733,0.019069231425534513
103,0.6804034851913858,0.004405895956791734
104,0.6745857853206408,-0.010250558951570943
105,0.6683610785347601,-0.0248887737856864
106,0.6617225500065154,-0.03949682244113778
107,0.6546636384931486,-0.054062202150506666
108,0.6471780730536058,-0.06857182503201163
109,0.6392599118427155,-0.0830120114885182
110,0.6309035829489495,-0.09736848569755419
111,0.6221039272201709,-0.11162637344316798
112,0.6128562429972996,-0.12577020254902493
113,0.603156332649042,-0.1397839061788855
114,0.5930005507718539,-0.15365082927502197
115,0.5823858538882244,-0.16735373840691212
116,0.5713098514433591,-0.18087483530128248
117,0.5597708578656797,-0.19419577431978396
118,0.5477679454204393,-0.2072976841420118
119,0.5353009975486954,-0.22016119389865024
120,0.5223707623461596,-0.2327664639820946
121,0.5089789057987847,-0.24509322173935186
122,0.4951280643547149,-0.2571208022244158
123,0.48082189637627204,-0.26882819415413284
124,0.46606513198164967,-0.2801940911728256
125,0.450863620754676,-0.291196948486618
126,0.4352243767733732,-0.3018150448784033
127,0.41915562038478965,-0.31202655005910723
128,0.4026668161358077,-0.3218095972504555
129,0.3857687062580855,-0.33114236082944287
130,0.3684733391009173,-0.3400031387956853
131,0.35079409190947775,-0.34837043975058557
132,0.33274568735831295,-0.3562230740027057
133,0.31434420327178303,-0.36354024833798654
134,0.29560707499496075,-0.37030166391770286
135,0.276553089920585,-0.37648761669266073
136,0.25720237373025306,-0.38207909965056963
137,0.2375763679710841,-0.3870579061462918
138,0.21769779866226174,-0.39140673350339766
139,0.19759063570874277,-0.3951092860216668
140,0.17728004299108482,-0.39815037648050616
141,0.1567923190998961,-0.4005160251941043
142,0.13615482878940102,-0.40219355565193454
143,0.11539592533556829,-0.40317168576908524
144,0.09454486409844594,-0.4034406137758286
145,0.07363170770368895,-0.40299209779553136
146,0.05268722337281111,-0.40181952819488437
147,0.03174277304314633,-0.399917991840551
148,0.01083019702470606,-0.3972843274614648
149,-0.01001830796025812,-0.39391717139549887
150,-0.0307703154201199,-0.389816993092137
151,-0.05139329940691211,-0.38498611984775516
152,-0.07185476742333802,-0.3794287503655227
153,-0.09212239479851138,-0.37315095685585437
154,-0.1121641593743383,-0.3661606755235853
155,-0.1319484753286856,-0.358467685422235
